sgRNA	gene	Lib_isg_ctrl	Lib_isg_sort
brunello_AMPH_2	AMPH	4302	3862
brunello_AMPH_3	AMPH	4291	5120
brunello_AMPH_4	AMPH	567	391
brunello_AMZ1_1	AMZ1	1184	1375
brunello_AMZ1_2	AMZ1	3124	2040
brunello_AMZ1_3	AMZ1	4044	3760
brunello_AMZ1_4	AMZ1	4240	3146
brunello_ANGPTL1_1	ANGPTL1	1406	1747
brunello_ANGPTL1_2	ANGPTL1	1348	1559
brunello_ANGPTL1_3	ANGPTL1	4624	4047
brunello_ANGPTL1_4	ANGPTL1	4546	2659
brunello_ANGPTL6_1	ANGPTL6	2874	2417
brunello_ANGPTL6_2	ANGPTL6	3004	2422
brunello_ANGPTL6_3	ANGPTL6	3649	3448
brunello_ANGPTL6_4	ANGPTL6	2840	2616
brunello_ANK3_1	ANK3	2679	1306
brunello_ANK3_2	ANK3	2603	2324
brunello_ANK3_3	ANK3	2314	1770
brunello_ANK3_4	ANK3	1147	2307
brunello_ANKEF1_1	ANKEF1	1950	2350
brunello_ANKEF1_2	ANKEF1	1723	2074
brunello_ANKEF1_3	ANKEF1	1309	708
brunello_ANKEF1_4	ANKEF1	4528	4204
brunello_ANKFY1_1	ANKFY1	575	504
brunello_ANKFY1_2	ANKFY1	5157	6050
brunello_ANKFY1_3	ANKFY1	4110	3585
brunello_ANKFY1_4	ANKFY1	2238	2140
brunello_ANKRD1_1	ANKRD1	4588	4848
brunello_ANKRD1_2	ANKRD1	3208	3313
brunello_ANKRD1_3	ANKRD1	4402	3785
brunello_ANKRD1_4	ANKRD1	5303	6701
brunello_ANKRD22_1	ANKRD22	3279	3231
brunello_ANKRD22_2	ANKRD22	2004	3332
brunello_ANKRD22_3	ANKRD22	7273	4856
brunello_ANKRD22_4	ANKRD22	4710	3857
brunello_ANKRD33B_1	ANKRD33B	1578	1218
brunello_ANKRD33B_2	ANKRD33B	3797	3899
brunello_ANKRD33B_3	ANKRD33B	3246	2281
brunello_ANKRD33B_4	ANKRD33B	1942	2123
brunello_ANKRD66_1	ANKRD66	3165	2735
brunello_ANKRD66_2	ANKRD66	4296	2649
brunello_ANKRD66_3	ANKRD66	5819	4975
brunello_ANKRD66_4	ANKRD66	6977	6110
brunello_ANKS1B_1	ANKS1B	6625	6790
brunello_ANKS1B_2	ANKS1B	6138	6314
brunello_ANKS1B_3	ANKS1B	2213	1464
brunello_ANKS1B_4	ANKS1B	7509	6885
brunello_ANO5_1	ANO5	3697	3676
brunello_ANO5_2	ANO5	1172	890
brunello_ANO5_3	ANO5	3669	4527
brunello_ANO5_4	ANO5	5223	6056
brunello_ANP32B_1	ANP32B	6895	6756
brunello_ANP32B_2	ANP32B	2292	2298
brunello_ANP32B_3	ANP32B	4165	4553
brunello_ANP32B_4	ANP32B	2874	3128
brunello_ANXA10_1	ANXA10	5011	5180
brunello_ANXA10_2	ANXA10	2024	3084
brunello_ANXA10_3	ANXA10	3952	4253
brunello_ANXA10_4	ANXA10	3489	2998
brunello_ANXA2R_1	ANXA2R	1298	964
brunello_ANXA2R_2	ANXA2R	3901	2864
brunello_ANXA2R_3	ANXA2R	1631	882
brunello_ANXA2R_4	ANXA2R	3227	2591
brunello_AOC2_1	AOC2	3508	3222
brunello_AOC2_2	AOC2	4426	4217
brunello_AOC2_3	AOC2	782	418
brunello_AOC2_4	AOC2	1797	1077
brunello_AP1S3_1	AP1S3	5726	7859
brunello_AP1S3_2	AP1S3	2440	1159
brunello_AP1S3_3	AP1S3	3258	2236
brunello_AP1S3_4	AP1S3	1286	1753
brunello_APOBEC1_1	APOBEC1	2588	2303
brunello_APOBEC1_2	APOBEC1	2275	2025
brunello_APOBEC1_3	APOBEC1	1659	1878
brunello_APOBEC1_4	APOBEC1	1178	1443
brunello_APOBEC3A_1	APOBEC3A	5491	3486
brunello_APOBEC3A_2	APOBEC3A	3316	5013
brunello_APOBEC3A_3	APOBEC3A	4673	6415
brunello_APOBEC3A_4	APOBEC3A	3489	2735
brunello_APOBEC3B_1	APOBEC3B	6026	8403
brunello_APOBEC3B_2	APOBEC3B	2427	3246
brunello_APOBEC3B_3	APOBEC3B	3493	2923
brunello_APOBEC3B_4	APOBEC3B	5939	6910
brunello_APOBEC3C_1	APOBEC3C	5516	5704
brunello_APOBEC3C_2	APOBEC3C	2666	3456
brunello_APOBEC3C_3	APOBEC3C	2904	2545
brunello_APOBEC3C_4	APOBEC3C	3499	4113
brunello_APOBEC3D_1	APOBEC3D	1398	889
brunello_APOBEC3D_2	APOBEC3D	2241	3226
brunello_APOBEC3D_3	APOBEC3D	5751	4120
brunello_APOBEC3D_4	APOBEC3D	2488	3573
brunello_APOBEC3F_1	APOBEC3F	4316	4612
brunello_APOBEC3F_2	APOBEC3F	1163	1469
brunello_APOBEC3F_3	APOBEC3F	3952	3485
brunello_APOBEC3F_4	APOBEC3F	3676	3416
brunello_APOBEC3G_1	APOBEC3G	4032	6536
brunello_APOBEC3G_2	APOBEC3G	2388	2642
brunello_APOBEC3G_3	APOBEC3G	1438	1886
brunello_APOBEC3G_4	APOBEC3G	3391	2636
brunello_APOBEC3H_1	APOBEC3H	4349	4264
brunello_APOBEC3H_2	APOBEC3H	3806	4766
brunello_APOBEC3H_3	APOBEC3H	4527	3930
brunello_APOBEC3H_4	APOBEC3H	4061	4279
brunello_APOC2_1	APOC2	3011	2708
brunello_APOC2_2	APOC2	2560	2905
brunello_APOC2_3	APOC2	3057	2436
brunello_APOC2_4	APOC2	6528	6886
brunello_APOD_1	APOD	577	739
brunello_APOD_2	APOD	2284	1793
brunello_APOD_3	APOD	4611	3372
brunello_APOD_4	APOD	4506	4282
brunello_APOE_1	APOE	2966	1988
brunello_APOE_2	APOE	5041	4783
brunello_APOE_3	APOE	4073	3876
brunello_APOE_4	APOE	2575	2492
brunello_APOF_1	APOF	3971	2487
brunello_APOF_2	APOF	1816	1662
brunello_APOF_3	APOF	5539	4057
brunello_APOF_4	APOF	3129	2397
brunello_APOL1_1	APOL1	4976	5506
brunello_APOL1_2	APOL1	5762	4765
brunello_APOL1_3	APOL1	2513	2501
brunello_APOL1_4	APOL1	1765	1307
brunello_APOL2_1	APOL2	1985	3325
brunello_APOL2_2	APOL2	1317	2521
brunello_APOL2_3	APOL2	5266	3793
brunello_APOL2_4	APOL2	3481	3882
brunello_APOL3_1	APOL3	5933	6589
brunello_APOL3_2	APOL3	3781	4524
brunello_APOL3_3	APOL3	2734	4272
brunello_APOL3_4	APOL3	3094	2786
brunello_APOL4_1	APOL4	4544	5189
brunello_APOL4_2	APOL4	2783	2040
brunello_APOL4_3	APOL4	3377	1391
brunello_APOL4_4	APOL4	4043	5246
brunello_APOL6_1	APOL6	2115	2412
brunello_APOL6_2	APOL6	5467	6163
brunello_APOL6_3	APOL6	4493	6464
brunello_APOL6_4	APOL6	1202	1783
brunello_AQP9_1	AQP9	2093	2000
brunello_AQP9_2	AQP9	8116	5702
brunello_AQP9_3	AQP9	4356	3731
brunello_AQP9_4	AQP9	6234	7094
brunello_ARG1_1	ARG1	5200	7555
brunello_ARG1_2	ARG1	2218	2096
brunello_ARG1_3	ARG1	4095	2940
brunello_ARG1_4	ARG1	2673	1519
brunello_ARG2_1	ARG2	2183	2016
brunello_ARG2_2	ARG2	2443	2250
brunello_ARG2_3	ARG2	3127	3364
brunello_ARG2_4	ARG2	4624	5133
brunello_ARHGAP25_1	ARHGAP25	3844	3712
brunello_ARHGAP25_2	ARHGAP25	2632	1723
brunello_ARHGAP25_3	ARHGAP25	1181	417
brunello_ARHGAP25_4	ARHGAP25	135	1
brunello_ARHGAP27_1	ARHGAP27	3204	2876
brunello_ARHGAP27_2	ARHGAP27	1526	1250
brunello_ARHGAP27_3	ARHGAP27	2064	2232
brunello_ARHGAP27_4	ARHGAP27	547	684
brunello_ARHGAP31_1	ARHGAP31	3857	3878
brunello_ARHGAP31_2	ARHGAP31	2478	1509
brunello_ARHGAP31_3	ARHGAP31	3170	2461
brunello_ARHGAP31_4	ARHGAP31	5106	4973
brunello_ARHGEF26_1	ARHGEF26	1108	818
brunello_ARHGEF26_2	ARHGEF26	2764	3244
brunello_ARHGEF26_3	ARHGEF26	7749	7321
brunello_ARHGEF26_4	ARHGEF26	4782	2665
brunello_ARHGEF3_1	ARHGEF3	4714	4618
brunello_ARHGEF3_2	ARHGEF3	2119	2512
brunello_ARHGEF3_3	ARHGEF3	2921	2898
brunello_ARHGEF3_4	ARHGEF3	3972	3727
brunello_ARID5A_1	ARID5A	1981	1974
brunello_ARID5A_2	ARID5A	4456	4762
brunello_ARID5A_3	ARID5A	1881	1066
brunello_ARID5A_4	ARID5A	2805	1232
brunello_ARL5B_1	ARL5B	3162	3062
brunello_ARL5B_2	ARL5B	1763	3056
brunello_ARL5B_3	ARL5B	3372	3309
brunello_ARL5B_4	ARL5B	1211	1319
brunello_ARMC9_1	ARMC9	4531	6983
brunello_ARMC9_2	ARMC9	2991	2049
brunello_ARMC9_3	ARMC9	3212	2793
brunello_ARMC9_4	ARMC9	2432	1468
brunello_ARMCX3_1	ARMCX3	3752	2217
brunello_ARMCX3_2	ARMCX3	3216	2825
brunello_ARMCX3_3	ARMCX3	4131	4276
brunello_ARMCX3_4	ARMCX3	3078	3451
brunello_ARNT2_1	ARNT2	3180	4258
brunello_ARNT2_2	ARNT2	2395	1438
brunello_ARNT2_3	ARNT2	1551	2408
brunello_ARNT2_4	ARNT2	3251	2818
brunello_ARNTL_1	ARNTL	1011	800
brunello_ARNTL_2	ARNTL	7590	6791
brunello_ARNTL_3	ARNTL	7715	7953
brunello_ARNTL_4	ARNTL	1764	2473
brunello_ARNTL2_1	ARNTL2	1016	660
brunello_ARNTL2_2	ARNTL2	1451	2050
brunello_ARNTL2_3	ARNTL2	3367	4084
brunello_ARNTL2_4	ARNTL2	4388	4192
brunello_ARRDC3_1	ARRDC3	6929	7947
brunello_ARRDC3_2	ARRDC3	4312	3021
brunello_ARRDC3_3	ARRDC3	4204	3278
brunello_ARRDC3_4	ARRDC3	2446	2635
brunello_ARSB_1	ARSB	4192	5005
brunello_ARSB_2	ARSB	2902	2463
brunello_ARSB_3	ARSB	982	880
brunello_ARSB_4	ARSB	1260	652
brunello_ASB2_1	ASB2	1886	2145
brunello_ASB2_2	ASB2	4285	5315
brunello_ASB2_3	ASB2	7248	6100
brunello_ASB2_4	ASB2	8092	7538
brunello_ASCC3_1	ASCC3	2694	1336
brunello_ASCC3_2	ASCC3	2692	1968
brunello_ASCC3_3	ASCC3	3366	2513
brunello_ASCC3_4	ASCC3	656	396
brunello_ASCL2_1	ASCL2	5399	2999
brunello_ASCL2_2	ASCL2	4549	3196
brunello_ASCL2_3	ASCL2	3010	2779
brunello_ASCL2_4	ASCL2	5386	7717
brunello_ASIP_1	ASIP	2834	3382
brunello_ASIP_2	ASIP	1941	951
brunello_ASIP_3	ASIP	974	1441
brunello_ASIP_4	ASIP	1557	1741
brunello_ASPA_1	ASPA	2700	2034
brunello_ASPA_2	ASPA	736	910
brunello_ASPA_3	ASPA	2903	3215
brunello_ASPA_4	ASPA	193	300
brunello_ASPHD2_1	ASPHD2	3098	2190
brunello_ASPHD2_2	ASPHD2	3391	2736
brunello_ASPHD2_3	ASPHD2	3414	2036
brunello_ASPHD2_4	ASPHD2	4013	3313
brunello_ATCAY_1	ATCAY	1574	2156
brunello_ATCAY_2	ATCAY	3008	2203
brunello_ATCAY_3	ATCAY	4768	5928
brunello_ATCAY_4	ATCAY	5689	5192
brunello_ATF3_1	ATF3	5138	7789
brunello_ATF3_2	ATF3	2624	2309
brunello_ATF3_3	ATF3	4514	4431
brunello_ATF3_4	ATF3	3969	3044
brunello_ATF5_1	ATF5	1011	854
brunello_ATF5_2	ATF5	3607	2793
brunello_ATF5_3	ATF5	3875	2311
brunello_ATF5_4	ATF5	1380	1203
brunello_ATL1_1	ATL1	2237	1220
brunello_ATL1_2	ATL1	1871	982
brunello_ATL1_3	ATL1	1512	1503
brunello_ATL1_4	ATL1	2379	2162
brunello_ATL3_1	ATL3	3887	5100
brunello_ATL3_2	ATL3	5416	2874
brunello_ATL3_3	ATL3	1300	888
brunello_ATL3_4	ATL3	3166	1987
brunello_ATP10A_1	ATP10A	4413	5029
brunello_ATP10A_2	ATP10A	5223	6257
brunello_ATP10A_3	ATP10A	6002	5360
brunello_ATP10A_4	ATP10A	4173	3839
brunello_ATP10B_1	ATP10B	3058	3544
brunello_ATP10B_2	ATP10B	2434	3371
brunello_ATP10B_3	ATP10B	2645	3394
brunello_ATP10B_4	ATP10B	4678	3965
brunello_ATP10D_1	ATP10D	1679	2274
brunello_ATP10D_2	ATP10D	1422	1382
brunello_ATP10D_3	ATP10D	4633	5028
brunello_ATP10D_4	ATP10D	3087	4864
brunello_ATP13A3_1	ATP13A3	3971	3259
brunello_ATP13A3_2	ATP13A3	719	651
brunello_ATP13A3_3	ATP13A3	3836	3539
brunello_ATP13A3_4	ATP13A3	6019	5433
brunello_ATP1B1_1	ATP1B1	4586	4078
brunello_ATP1B1_2	ATP1B1	3997	5948
brunello_ATP1B1_3	ATP1B1	665	858
brunello_ATP1B1_4	ATP1B1	4523	5752
brunello_ATP6V0A1_1	ATP6V0A1	1281	1197
brunello_ATP6V0A1_2	ATP6V0A1	2774	2296
brunello_ATP6V0A1_3	ATP6V0A1	761	1285
brunello_ATP6V0A1_4	ATP6V0A1	5656	8539
brunello_ATP6V0D2_1	ATP6V0D2	3349	2492
brunello_ATP6V0D2_2	ATP6V0D2	7412	7990
brunello_ATP6V0D2_3	ATP6V0D2	1265	1106
brunello_ATP6V0D2_4	ATP6V0D2	3232	2044
brunello_ATP7A_1	ATP7A	1842	1367
brunello_ATP7A_2	ATP7A	3778	2654
brunello_ATP7A_3	ATP7A	1816	1122
brunello_ATP7A_4	ATP7A	2201	1566
brunello_ATP8B4_1	ATP8B4	3085	3476
brunello_ATP8B4_2	ATP8B4	5647	4800
brunello_ATP8B4_3	ATP8B4	3011	2174
brunello_ATP8B4_4	ATP8B4	1988	2007
brunello_AURKB_1	AURKB	2271	2526
brunello_AURKB_2	AURKB	1510	2018
brunello_AURKB_3	AURKB	1067	575
brunello_AURKB_4	AURKB	2101	3589
brunello_AXL_1	AXL	4483	6217
brunello_AXL_2	AXL	2815	3033
brunello_AXL_3	AXL	3032	1930
brunello_AXL_4	AXL	2413	1952
brunello_AZI2_1	AZI2	1496	1211
brunello_AZI2_2	AZI2	1702	1523
brunello_AZI2_3	AZI2	10470	11330
brunello_AZI2_4	AZI2	3092	2334
brunello_B2M_1	B2M	3688	1961
brunello_B2M_2	B2M	6361	7169
brunello_B2M_3	B2M	3459	2419
brunello_B2M_4	B2M	4052	4409
brunello_B3GALT2_1	B3GALT2	2852	1742
brunello_B3GALT2_2	B3GALT2	2388	1701
brunello_B3GALT2_3	B3GALT2	4564	3568
brunello_B3GALT2_4	B3GALT2	4512	4634
